surface,reading,romaji,pos,frequency,short_translation,detailed_translation,used_in_sentence
手,テ,te,名詞-普通名詞-助数詞可能,3,hand,"The word '手' primarily means 'hand' in English. It can refer to the physical part of the body connected to the wrist or the ability to perform tasks. In some contexts, it can be used metaphorically to mean help or support, similar to English expressions like 'helping hand'.",彼は彼女の手を握った。
本当,ホントー,hontou,名詞-普通名詞-一般,3,truth,"Refers to the concept or state of being true or real, corresponding to fact or reality. It can also mean sincerity, genuineness, or authenticity.",彼の話は本当ですか？
四,ヨン,shi,名詞-数詞,3,four,"The number four, which follows three and precedes five. It is a basic numeral used in counting and arithmetic.",私は四つのりんごを持っています。
られ,ラレ,rare,助動詞,3,can,"The auxiliary verb 'られ' is used in Japanese to express ability or potential, similar to the English word 'can' or 'able to'. It can also indicate a passive voice or honorific form in some contexts.",彼はそれをやられた。
こっち,コッチ,kotchi,代名詞,3,this,"This is an informal pronoun used to point to a direction, thing, or person near the speaker, similar to 'this way' or 'here'.",こっちに来てください。
きょう,キョー,kyou,名詞-普通名詞-副詞可能,3,today,"'きょう' translates to 'today' in English. It refers to the current day. In Japanese, this word can also be used adverbially to indicate actions that occur on the same day.",今日は天気がいい。
けり,ケリ,keri,助動詞,3,recollection,"The Japanese auxiliary verb 'けり' is used to express recollection, realization, or narrating past events. It often suggests a sense of discovering or remembering something that occurred in the past, sometimes indicating surprise or sudden realization.",昔々あるところにおじいさんとおばあさんが住んでおったけり。
いう,ユー,iu,動詞-一般,3,say,"The verb 'いう' means 'to say' or 'to tell'. It can also mean 'to call', 'to declare', or 'to mention'. It's used when quoting someone or something said.",彼は「こんにちは」といった。
うわっ,ウワッ,uwatsu,感動詞-一般,3,Wow!,"An expression of surprise or shock, similar to 'wow' or 'whoa' in English. Typically used when one encounters something unexpected or astonishing.",うわっ、これにはびっくりした。
けど,ケド,kedo,助詞-接続助詞,3,though,"'けど' is a conjunction used to express a contrast, similar to 'though', 'but', or 'however' in English. It is often used at the end of a clause to imply a contrast with what follows, or to soften statements.",雨が降っているけど、出かけます。
こそ,コソ,koso,助詞-係助詞,3,emphatic particle,"A particle used in Japanese to emphasize the preceding word or phrase, often highlighting it as the most relevant or important in the given context. This can provide contrast or stress the significance of a particular point.",あなたこそ私の親友だ。
え,エ,e,助詞-終助詞,3,eh,"A Japanese sentence-ending particle used to express surprise, hesitation, or seeking confirmation from the listener. It is often informal and can add a sense of uncertainty or inquiry to the statement.",それ、本当にやるのえ？
ﾔｼﾞﾛﾍﾞｴ,ﾔｼﾞﾛﾍﾞｴ,yajirobee,名詞-普通名詞-一般,2,balance toy,"A 'やじろべえ' is a traditional Japanese balancing toy, often resembling a spinning top or a toy figure balanced on an axle. It is designed to remain upright and maintain balance even when pushed or spun, demonstrating principles of balance and equilibrium.",子供たちは新しいやじろべえで遊んでいる。
うずまき,ウズマキ,uzumaki,名詞-普通名詞-一般,2,spiral,"A spiral or whirl, often referring to a pattern that curls around a central point. It can describe shapes, designs, or natural phenomena like a whirlpool.",渦巻模様はとても美しいです。
知ら,シラ,shira,動詞-一般,2,know,"The verb ""know"" in English refers to having awareness or familiarity with a person, fact, skill, or situation. In Japanese, ""知る"" (shiru) conveys similar meanings, such as to understand or recognize.",彼の住所を知らない。
ホント,ホント,honto,名詞-普通名詞-一般,2,truth,"Refers to the truth or reality of something, often used informally as a variation of 'ほんとう' (hontou), which also means truth or really.",彼の話はホントだと思う。
うち,ウチ,uchi,名詞-普通名詞-副詞可能,2,home,Residence or house; also can imply 'inside' or 'within' in contexts.,私はうちに帰ります。
はぁ,ハー,haa,感動詞-一般,2,sigh,"An expression used to convey a sigh, often indicating resignation, exhaustion, or relief.",彼はテストの結果を見て、はぁ、とため息をついた。
目,メ,me,名詞-普通名詞-一般,2,eye,The organ of sight in humans and animals; the eye can also refer to the point of view or attention. It appears in various idiomatic expressions and can sometimes refer to a manner of seeing or perceiving.,彼は大きな目をしている。
フッ,フッ,futsu,副詞,2,quickly,"The word 'フッ' is an adverb that conveys an action done quickly or suddenly, often with a sense of lightness or easiness.",彼はフッと笑った。
フゥ,フー,fuu,副詞,2,phew,"An expression of relief or exhaustion, often used to express a sigh of relief after a difficult situation or effort.",フゥ、やっと終わった！
愛情,アイジョー,aijou,名詞-普通名詞-一般,2,love,Affection; a strong feeling of fondness or devotion towards someone or something.,彼女は彼に強い愛情を持っている。
生徒,セート,seito,名詞-普通名詞-一般,2,student,A student; typically refers to a person who is enrolled in an educational institution and is engaged in learning or study.,彼は優秀な生徒だ。
ハハハ,ハハハ,hahaha,感動詞-一般,2,laughter,"An expression of laughter, often used to convey amusement or joy. It is similar to saying 'ha ha ha' or 'LOL' in English.",彼の冗談に皆がハハハと笑った。
ハッハッハッ,ハッハッハッ,hahhahhatsu,感動詞-一般,2,haha,"An expression of laughter, usually in a loud and repeated manner. Represents the sound of laughter and is often used in informal contexts.",彼の冗談が面白くて、みんながハッハッハッと笑った。
へ,エ,he,助詞-格助詞,2,to,"a particle used to indicate direction or destination; it marks the destination toward which the action of the verb is directed, often translated as 'to' or 'toward' in English.",私は東京へ行きます。
なんか,ナンカ,nanka,助詞-副助詞,2,such as,"Used to indicate something in a suggestive or uncertain way, often as a filler or to imply some examples. It can convey a sense of dismissal or downplaying the importance of something.",なんか忘れ物した気がする。
なく,ナク,naku,助動詞,2,without,"Indicates necessity or obligation not to do something, often used in the form ～なくてはいけない meaning 'must' or 'have to'. It negates the preceding verb, meaning 'do not/do(es) not'.",早く帰らなくちゃいけない。
